seq_index,filename,ndtiff_file,column,row,z,x_px,y_px
332,0332.tif,new_NDTiffStack.tif,15,3,0,27648.000,5529.600
333,0333.tif,new_NDTiffStack.tif,15,2,0,27648.000,3686.400
334,0334.tif,new_NDTiffStack.tif,15,1,0,27648.000,1843.200
335,0335.tif,new_NDTiffStack.tif,15,0,0,27648.000,0.000
336,0336.tif,new_NDTiffStack.tif,16,0,0,29491.200,0.000
337,0337.tif,new_NDTiffStack.tif,16,1,0,29491.200,1843.200
338,0338.tif,new_NDTiffStack.tif,16,2,0,29491.200,3686.400
339,0339.tif,new_NDTiffStack.tif,16,3,0,29491.200,5529.600
340,0340.tif,new_NDTiffStack.tif,16,4,0,29491.200,7372.800
341,0341.tif,new_NDTiffStack.tif,16,5,0,29491.200,9216.000
342,0342.tif,new_NDTiffStack.tif,16,6,0,29491.200,11059.200
343,0343.tif,new_NDTiffStack.tif,16,7,0,29491.200,12902.400
344,0344.tif,new_NDTiffStack.tif,16,8,0,29491.200,14745.600
345,0345.tif,new_NDTiffStack.tif,16,9,0,29491.200,16588.800
346,0346.tif,new_NDTiffStack.tif,16,10,0,29491.200,18432.000
347,0347.tif,new_NDTiffStack.tif,16,11,0,29491.200,20275.200
348,0348.tif,new_NDTiffStack.tif,16,12,0,29491.200,22118.400
349,0349.tif,new_NDTiffStack.tif,16,13,0,29491.200,23961.600
350,0350.tif,new_NDTiffStack.tif,16,14,0,29491.200,25804.800
351,0351.tif,new_NDTiffStack.tif,16,15,0,29491.200,27648.000
352,0352.tif,new_NDTiffStack.tif,16,16,0,29491.200,29491.200
353,0353.tif,new_NDTiffStack.tif,16,17,0,29491.200,31334.400
354,0354.tif,new_NDTiffStack.tif,16,18,0,29491.200,33177.600
355,0355.tif,new_NDTiffStack.tif,16,19,0,29491.200,35020.800
356,0356.tif,new_NDTiffStack.tif,16,20,0,29491.200,36864.000
357,0357.tif,new_NDTiffStack.tif,17,20,0,31334.400,36864.000
358,0358.tif,new_NDTiffStack.tif,17,19,0,31334.400,35020.800
359,0359.tif,new_NDTiffStack.tif,17,18,0,31334.400,33177.600
360,0360.tif,new_NDTiffStack.tif,17,17,0,31334.400,31334.400
361,0361.tif,new_NDTiffStack.tif,17,16,0,31334.400,29491.200
362,0362.tif,new_NDTiffStack.tif,17,15,0,31334.400,27648.000
363,0363.tif,new_NDTiffStack.tif,17,14,0,31334.400,25804.800
364,0364.tif,new_NDTiffStack.tif,17,13,0,31334.400,23961.600
365,0365.tif,new_NDTiffStack.tif,17,12,0,31334.400,22118.400
366,0366.tif,new_NDTiffStack.tif,17,11,0,31334.400,20275.200
367,0367.tif,new_NDTiffStack.tif,17,10,0,31334.400,18432.000
368,0368.tif,new_NDTiffStack.tif,17,9,0,31334.400,16588.800
369,0369.tif,new_NDTiffStack.tif,17,8,0,31334.400,14745.600
370,0370.tif,new_NDTiffStack.tif,17,7,0,31334.400,12902.400
371,0371.tif,new_NDTiffStack.tif,17,6,0,31334.400,11059.200
372,0372.tif,new_NDTiffStack.tif,17,5,0,31334.400,9216.000
373,0373.tif,new_NDTiffStack.tif,17,4,0,31334.400,7372.800
374,0374.tif,new_NDTiffStack.tif,17,3,0,31334.400,5529.600
